EmployeeNumber,Age,Gender,MaritalStatus,BusinessTravel,Education,EducationField,Department,JobRole,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,DistanceFromHome,TrainingTimesLastYear
338,33,Female,Married,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,2,2,2,0,2,1,5,2
339,34,Male,Married,Travel_Rarely,4,Life Sciences,Research & Development,Manufacturing Director,13,11,9,5,9,6,2,3
340,37,Female,Married,Travel_Rarely,2,Medical,Research & Development,Research Scientist,17,3,1,0,2,2,1,2
341,45,Male,Married,Travel_Frequently,4,Life Sciences,Research & Development,Manufacturing Director,9,3,2,0,2,4,7,1
342,37,Male,Divorced,Travel_Frequently,3,Medical,Research & Development,Manufacturing Director,17,1,0,0,0,6,10,5
343,39,Female,Single,Travel_Frequently,4,Technical Degree,Research & Development,Healthcare Representative,20,19,6,11,8,0,2,1
346,29,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,6,6,5,1,5,1,15,1
347,42,Female,Single,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,10,3,2,0,2,3,17,1
349,29,Male,Divorced,Travel_Rarely,2,Marketing,Sales,Sales Executive,10,3,2,0,2,2,20,2
350,25,Female,Married,Travel_Rarely,3,Life Sciences,Research & Development,Manufacturing Director,5,4,2,1,2,0,1,3
351,42,Female,Divorced,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,10,9,6,7,8,0,2,4
352,40,Male,Divorced,Travel_Rarely,2,Medical,Research & Development,Research Director,22,21,7,3,9,0,2,5
353,51,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,1,1,0,0,0,1,1,0
355,31,Male,Single,Travel_Frequently,2,Medical,Research & Development,Laboratory Technician,6,5,4,1,4,0,29,2
359,32,Male,Married,Travel_Frequently,3,Life Sciences,Research & Development,Laboratory Technician,5,5,1,0,3,1,7,3
361,38,Male,Married,Non-Travel,2,Life Sciences,Sales,Sales Executive,13,8,7,7,5,3,2,0
362,32,Male,Single,Travel_Rarely,1,Technical Degree,Research & Development,Laboratory Technician,9,6,2,0,4,4,2,5
363,46,Female,Married,Travel_Rarely,3,Technical Degree,Sales,Manager,28,7,7,7,7,3,2,2
364,28,Male,Single,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,5,0,0,0,0,2,2,5
366,29,Male,Married,Travel_Rarely,3,Medical,Sales,Sales Executive,10,0,0,0,0,2,2,2
367,31,Male,Married,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,10,9,0,7,8,0,23,2
369,25,Male,Divorced,Non-Travel,2,Life Sciences,Research & Development,Healthcare Representative,6,6,3,1,5,1,5,2
372,45,Male,Married,Travel_Rarely,2,Medical,Research & Development,Healthcare Representative,21,20,7,4,10,0,20,2
373,36,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,16,15,13,10,11,0,6,4
374,55,Male,Single,Travel_Rarely,3,Medical,Research & Development,Manager,37,36,10,4,13,0,1,2
376,47,Male,Married,Non-Travel,4,Life Sciences,Research & Development,Manager,10,10,7,9,9,1,29,2
377,28,Male,Married,Travel_Rarely,3,Medical,Research & Development,Research Scientist,5,5,2,0,4,1,9,3
378,37,Male,Married,Travel_Rarely,4,Medical,Sales,Sales Executive,7,5,4,0,1,4,6,5
379,21,Male,Single,Travel_Rarely,2,Medical,Research & Development,Research Scientist,3,3,2,1,0,1,3,4
380,37,Female,Divorced,Non-Travel,4,Medical,Research & Development,Research Director,15,5,2,0,2,2,1,2
381,35,Female,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Manager,10,7,7,6,2,7,22,6
382,38,Female,Divorced,Travel_Rarely,2,Medical,Sales,Sales Executive,8,8,0,7,7,1,7,3
384,26,Female,Divorced,Travel_Frequently,3,Life Sciences,Research & Development,Manufacturing Director,6,6,5,1,4,1,1,6
385,50,Male,Divorced,Travel_Rarely,1,Life Sciences,Research & Development,Research Director,28,10,4,1,6,3,4,4
386,53,Male,Married,Travel_Rarely,4,Medical,Research & Development,Research Director,21,5,3,1,3,3,3,5
387,42,Male,Married,Travel_Rarely,1,Life Sciences,Sales,Sales Executive,20,20,16,11,6,1,1,3
388,29,Male,Single,Travel_Frequently,2,Life Sciences,Sales,Sales Executive,10,10,7,0,9,1,2,3
389,55,Male,Married,Travel_Rarely,2,Technical Degree,Research & Development,Laboratory Technician,12,10,7,0,8,3,20,4
390,26,Male,Married,Travel_Frequently,2,Medical,Research & Development,Healthcare Representative,5,5,3,3,3,1,11,3
391,37,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,17,17,12,5,7,1,1,3
392,44,Male,Divorced,Travel_Frequently,3,Life Sciences,Research & Development,Laboratory Technician,19,1,0,0,0,3,24,0
393,38,Male,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Healthcare Representative,10,2,2,1,2,9,23,2
394,26,Male,Divorced,Travel_Rarely,4,Medical,Research & Development,Laboratory Technician,5,3,2,0,2,2,16,2
395,28,Female,Single,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,5,5,3,0,2,1,8,3
396,49,Female,Single,Travel_Frequently,4,Life Sciences,Research & Development,Research Director,22,3,2,1,2,9,10,4
397,36,Male,Single,Travel_Rarely,3,Technical Degree,Research & Development,Research Scientist,10,8,0,7,7,4,3,2
399,31,Female,Divorced,Travel_Frequently,3,Marketing,Sales,Sales Representative,2,2,2,2,2,1,5,5
401,26,Male,Single,Travel_Rarely,4,Marketing,Sales,Sales Executive,8,8,7,7,4,1,4,0
403,37,Male,Married,Travel_Frequently,3,Medical,Research & Development,Research Scientist,4,4,2,1,2,1,9,3
404,42,Female,Married,Travel_Frequently,3,Marketing,Sales,Sales Executive,23,20,4,4,8,5,26,2
405,18,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,0,0,0,0,0,1,3,2
406,35,Male,Married,Travel_Rarely,3,Marketing,Sales,Sales Executive,12,11,9,6,9,0,16,3
407,36,Male,Married,Travel_Frequently,4,Life Sciences,Research & Development,Laboratory Technician,4,1,0,0,0,4,18,2
408,51,Male,Divorced,Travel_Rarely,3,Medical,Research & Development,Manufacturing Director,13,4,1,1,2,5,2,3
410,41,Male,Single,Travel_Rarely,4,Life Sciences,Sales,Manager,22,22,10,0,4,1,2,2
411,18,Female,Single,Travel_Rarely,3,Medical,Sales,Sales Representative,0,0,0,0,0,1,10,2
412,28,Male,Single,Travel_Rarely,2,Medical,Research & Development,Healthcare Representative,9,8,3,0,7,0,16,2
416,31,Male,Married,Travel_Rarely,3,Technical Degree,Sales,Sales Executive,10,8,7,7,7,4,7,3
417,39,Male,Divorced,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,19,18,10,3,7,0,1,5
419,36,Female,Married,Non-Travel,4,Life Sciences,Research & Development,Laboratory Technician,11,9,8,0,8,7,24,3
420,32,Male,Married,Travel_Rarely,3,Life Sciences,Sales,Sales Executive,13,13,8,4,8,1,7,3
421,38,Female,Married,Travel_Rarely,2,Life Sciences,Research & Development,Research Director,19,10,8,0,1,3,25,2
422,58,Male,Divorced,Non-Travel,4,Life Sciences,Research & Development,Healthcare Representative,12,5,3,1,2,2,1,2
423,31,Male,Married,Travel_Rarely,4,Technical Degree,Research & Development,Research Scientist,6,5,2,0,3,0,5,4
424,31,Male,Married,Travel_Rarely,3,Human Resources,Human Resources,Human Resources,9,2,2,1,0,3,2,1
425,45,Male,Divorced,Travel_Frequently,3,Life Sciences,Research & Development,Laboratory Technician,24,24,9,9,11,1,7,2
426,31,Male,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,3,2,2,2,2,0,2,2
428,33,Female,Married,Travel_Frequently,4,Life Sciences,Research & Development,Manager,12,10,6,8,8,6,5,2
429,39,Male,Married,Travel_Rarely,1,Medical,Research & Development,Manager,21,21,9,11,10,1,10,3
430,43,Female,Single,Travel_Frequently,4,Life Sciences,Research & Development,Laboratory Technician,9,8,7,1,7,0,10,5
431,49,Female,Single,Travel_Rarely,2,Technical Degree,Research & Development,Healthcare Representative,25,7,1,0,7,7,1,2
433,52,Male,Married,Travel_Rarely,4,Medical,Research & Development,Research Scientist,11,8,2,7,7,2,8,3
434,27,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,4,4,3,1,2,1,5,2
436,32,Female,Married,Travel_Rarely,2,Technical Degree,Sales,Sales Executive,13,13,12,11,9,1,8,2
437,27,Male,Single,Travel_Rarely,3,Life Sciences,Sales,Sales Executive,5,5,4,0,4,1,2,3
438,31,Male,Divorced,Travel_Rarely,3,Marketing,Sales,Sales Executive,13,7,7,1,7,4,7,3
439,32,Female,Single,Travel_Rarely,4,Medical,Research & Development,Research Scientist,10,7,7,0,7,7,2,0
440,28,Male,Married,Travel_Rarely,4,Medical,Research & Development,Research Scientist,5,3,2,2,2,5,2,4
441,30,Female,Married,Travel_Rarely,2,Medical,Research & Development,Research Scientist,11,10,8,1,9,1,28,2
442,31,Female,Married,Travel_Frequently,2,Life Sciences,Research & Development,Manufacturing Director,10,10,9,8,9,1,7,2
444,39,Male,Married,Travel_Frequently,2,Medical,Research & Development,Manager,21,21,9,13,3,1,7,2
445,39,Female,Married,Travel_Rarely,2,Medical,Sales,Sales Executive,12,1,0,0,0,4,3,3
446,33,Male,Single,Travel_Frequently,3,Marketing,Sales,Sales Executive,9,7,7,0,1,3,10,6
447,47,Male,Married,Travel_Rarely,5,Life Sciences,Research & Development,Research Director,21,3,2,1,1,4,5,2
448,43,Female,Divorced,Travel_Frequently,4,Life Sciences,Research & Development,Laboratory Technician,9,9,7,0,0,1,10,3
449,27,Male,Married,Non-Travel,1,Marketing,Sales,Sales Executive,6,5,4,1,4,0,1,0
450,54,Female,Single,Travel_Frequently,4,Life Sciences,Research & Development,Research Scientist,20,4,3,0,3,3,20,4
451,43,Female,Married,Travel_Rarely,3,Life Sciences,Research & Development,Healthcare Representative,10,1,0,0,0,8,7,1
452,45,Male,Married,Travel_Rarely,4,Other,Research & Development,Research Scientist,12,10,9,9,8,9,8,3
453,40,Male,Married,Travel_Rarely,2,Medical,Sales,Sales Executive,6,4,3,0,2,2,1,2
454,29,Male,Married,Travel_Rarely,4,Other,Research & Development,Laboratory Technician,7,7,7,0,7,1,8,4
455,29,Male,Single,Travel_Rarely,5,Other,Research & Development,Laboratory Technician,4,3,2,2,2,0,9,2
456,30,Female,Divorced,Travel_Rarely,3,Marketing,Sales,Sales Executive,10,10,9,1,2,1,5,2
458,27,Female,Married,Travel_Rarely,4,Marketing,Sales,Sales Executive,8,8,7,0,7,1,8,3
460,37,Male,Divorced,Travel_Rarely,2,Medical,Research & Development,Manufacturing Director,8,6,2,0,4,7,5,2
461,38,Male,Divorced,Travel_Rarely,2,Life Sciences,Research & Development,Research Director,12,11,10,2,9,0,15,3
462,31,Female,Single,Travel_Rarely,4,Medical,Research & Development,Manufacturing Director,11,11,9,4,10,1,7,2
463,29,Female,Divorced,Travel_Rarely,1,Marketing,Sales,Sales Executive,7,7,7,1,7,1,10,2
464,35,Male,Single,Travel_Rarely,4,Technical Degree,Research & Development,Manufacturing Director,17,16,6,0,13,0,5,5
465,23,Male,Divorced,Travel_Rarely,1,Life Sciences,Research & Development,Research Scientist,4,4,2,0,2,1,26,2
466,41,Male,Single,Travel_Rarely,3,Medical,Research & Development,Manufacturing Director,8,5,4,1,2,6,6,3
467,47,Male,Single,Travel_Frequently,1,Medical,Sales,Sales Representative,5,0,0,0,0,3,4,3
468,42,Female,Single,Travel_Rarely,5,Life Sciences,Research & Development,Research Director,16,1,0,0,0,2,23,2
469,29,Male,Married,Non-Travel,3,Life Sciences,Sales,Sales Executive,4,4,3,0,2,1,2,3
470,42,Male,Divorced,Travel_Rarely,1,Technical Degree,Human Resources,Human Resources,4,3,2,1,0,0,2,5
471,32,Female,Married,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,8,8,0,0,7,1,2,4
473,48,Female,Married,Travel_Rarely,1,Medical,Sales,Manager,15,0,0,0,0,3,29,3
474,37,Male,Divorced,Travel_Rarely,3,Medical,Research & Development,Research Scientist,13,7,7,6,7,4,6,2
475,30,Female,Married,Non-Travel,2,Technical Degree,Sales,Sales Executive,4,2,2,2,2,7,25,2
476,26,Male,Married,Travel_Rarely,3,Life Sciences,Sales,Sales Executive,8,8,7,7,7,1,1,3
477,42,Male,Single,Travel_Rarely,4,Other,Research & Development,Healthcare Representative,14,1,0,0,0,3,2,6
478,21,Female,Single,Travel_Frequently,1,Technical Degree,Sales,Sales Representative,3,3,2,1,2,1,1,3
479,36,Female,Single,Non-Travel,5,Medical,Sales,Sales Executive,7,1,0,0,0,4,1,6
481,36,Male,Married,Travel_Frequently,4,Medical,Sales,Sales Executive,16,13,9,1,12,4,3,2
482,57,Male,Married,Travel_Rarely,4,Medical,Research & Development,Healthcare Representative,15,3,2,1,2,2,1,2
483,40,Female,Married,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,10,7,7,1,7,3,10,3
484,21,Male,Single,Non-Travel,2,Medical,Sales,Sales Representative,3,3,2,2,2,1,9,3
485,33,Female,Single,Travel_Rarely,3,Marketing,Sales,Sales Representative,1,1,0,0,0,1,5,2
486,37,Female,Married,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,17,5,4,0,3,6,10,3
487,46,Female,Married,Non-Travel,4,Medical,Research & Development,Manufacturing Director,7,1,0,0,0,2,7,2
488,41,Male,Single,Travel_Frequently,3,Marketing,Sales,Sales Executive,8,8,7,7,7,1,4,5
491,50,Male,Single,Travel_Rarely,3,Technical Degree,Research & Development,Healthcare Representative,20,4,3,1,3,6,10,2
492,40,Male,Married,Travel_Rarely,2,Marketing,Sales,Sales Executive,8,6,4,1,0,2,22,6
493,31,Male,Single,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,3,2,2,2,2,0,9,5
494,21,Female,Single,Travel_Rarely,3,Life Sciences,Sales,Sales Representative,1,1,0,0,0,1,12,0
495,29,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,6,3,2,1,2,9,23,4
496,35,Male,Single,Travel_Rarely,4,Life Sciences,Research & Development,Healthcare Representative,10,1,1,0,0,9,9,5
497,27,Male,Divorced,Travel_Rarely,2,Medical,Research & Development,Laboratory Technician,5,5,2,0,4,1,1,2
498,28,Male,Single,Travel_Rarely,4,Life Sciences,Sales,Sales Executive,7,7,5,0,7,1,9,1
499,49,Male,Single,Travel_Rarely,3,Other,Research & Development,Healthcare Representative,26,5,2,0,0,8,7,2
500,51,Female,Married,Travel_Rarely,2,Life Sciences,Sales,Sales Executive,18,7,7,0,7,4,14,2
501,36,Female,Married,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,6,2,2,2,2,4,2,3
502,34,Male,Single,Non-Travel,3,Marketing,Sales,Sales Executive,9,5,2,0,4,8,19,3
505,55,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Manager,30,5,4,1,2,2,2,2
507,24,Female,Divorced,Travel_Rarely,4,Marketing,Sales,Sales Executive,5,5,2,0,3,1,10,2
508,30,Male,Married,Travel_Rarely,1,Technical Degree,Sales,Sales Representative,1,1,0,0,0,1,2,3
510,26,Male,Single,Travel_Frequently,1,Technical Degree,Research & Development,Research Scientist,7,6,4,0,4,0,3,2
511,22,Female,Married,Travel_Rarely,3,Medical,Research & Development,Research Scientist,2,2,1,1,2,1,11,1
513,36,Male,Married,Travel_Rarely,2,Medical,Sales,Sales Executive,10,10,9,9,0,1,2,2
514,30,Male,Single,Travel_Frequently,3,Technical Degree,Research & Development,Research Scientist,3,1,0,0,0,9,4,4
515,37,Female,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,18,18,7,12,17,1,14,2
516,40,Female,Divorced,Travel_Rarely,2,Marketing,Sales,Sales Executive,8,5,4,1,3,7,2,5
517,42,Female,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,8,5,2,1,2,3,1,5
518,37,Male,Single,Travel_Rarely,4,Life Sciences,Research & Development,Manufacturing Director,18,1,0,0,1,2,10,2
520,43,Male,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Research Director,25,25,10,3,9,1,12,3
521,40,Female,Married,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,20,1,0,0,0,6,2,3
522,54,Male,Married,Travel_Rarely,2,Medical,Research & Development,Research Director,24,4,2,1,2,4,5,4
523,34,Female,Married,Non-Travel,4,Marketing,Sales,Sales Executive,6,3,2,1,2,9,4,3
524,31,Female,Married,Travel_Rarely,2,Medical,Research & Development,Manufacturing Director,13,13,10,3,12,1,7,5
525,43,Male,Married,Travel_Frequently,3,Medical,Research & Development,Laboratory Technician,8,3,2,1,2,7,21,1
526,43,Female,Divorced,Travel_Rarely,4,Other,Research & Development,Healthcare Representative,8,5,2,0,2,4,8,3
527,25,Female,Single,Travel_Rarely,2,Life Sciences,Sales,Sales Executive,5,5,4,1,3,1,4,3
529,37,Female,Married,Non-Travel,5,Medical,Research & Development,Research Scientist,15,13,11,10,7,3,25,2
530,31,Male,Married,Travel_Rarely,2,Life Sciences,Research & Development,Laboratory Technician,4,4,2,3,2,1,1,3
531,39,Male,Divorced,Travel_Frequently,1,Life Sciences,Research & Development,Manager,21,21,8,1,6,1,1,3
532,56,Female,Married,Travel_Frequently,3,Life Sciences,Sales,Sales Executive,36,7,7,7,7,9,6,0
533,30,Female,Single,Travel_Rarely,3,Technical Degree,Sales,Sales Executive,6,5,4,4,4,0,12,6
534,41,Male,Married,Travel_Rarely,3,Marketing,Sales,Sales Executive,10,10,7,0,7,1,1,2
536,28,Male,Divorced,Travel_Rarely,2,Medical,Research & Development,Laboratory Technician,10,10,0,1,8,1,17,2
538,25,Male,Married,Travel_Rarely,3,Medical,Research & Development,Laboratory Technician,6,2,2,0,2,5,3,5
543,52,Male,Married,Travel_Rarely,3,Medical,Research & Development,Manufacturing Director,28,5,4,0,4,2,3,4
544,45,Male,Married,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,8,2,2,0,2,3,10,3
546,52,Female,Married,Travel_Rarely,2,Life Sciences,Research & Development,Manager,31,5,2,1,4,2,4,2
547,42,Female,Divorced,Travel_Frequently,2,Life Sciences,Research & Development,Research Scientist,19,5,4,0,2,2,29,3
548,30,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Manufacturing Director,11,5,4,0,2,2,2,2
549,60,Female,Married,Travel_Rarely,3,Life Sciences,Research & Development,Manager,33,29,8,11,10,5,7,5
550,46,Female,Divorced,Travel_Rarely,3,Medical,Research & Development,Manufacturing Director,19,10,7,0,8,2,18,5
551,42,Female,Married,Travel_Frequently,4,Technical Degree,Research & Development,Healthcare Representative,7,6,5,0,4,0,28,4
554,24,Female,Single,Travel_Rarely,1,Technical Degree,Sales,Sales Representative,6,5,3,1,4,1,1,4
555,34,Female,Divorced,Travel_Frequently,2,Marketing,Sales,Sales Representative,3,2,2,1,0,0,6,3
556,38,Male,Married,Travel_Frequently,2,Life Sciences,Research & Development,Laboratory Technician,1,1,0,0,0,1,2,3
558,40,Female,Married,Travel_Rarely,4,Life Sciences,Sales,Manager,21,20,15,1,12,0,2,2
560,26,Female,Divorced,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,3,3,2,0,2,1,23,3
562,30,Male,Married,Non-Travel,3,Life Sciences,Research & Development,Laboratory Technician,9,5,3,1,4,4,3,3
564,29,Male,Married,Travel_Rarely,4,Medical,Research & Development,Research Director,10,10,2,0,7,1,3,2
565,29,Female,Married,Travel_Rarely,5,Technical Degree,Research & Development,Research Scientist,6,2,2,1,1,5,25,2
566,19,Male,Single,Travel_Rarely,2,Technical Degree,Human Resources,Human Resources,1,1,0,0,0,1,2,3
567,30,Female,Married,Non-Travel,4,Other,Sales,Sales Executive,10,9,8,7,8,0,22,3
568,57,Male,Divorced,Travel_Rarely,3,Marketing,Sales,Manager,32,1,0,0,0,3,29,3
569,50,Male,Married,Travel_Rarely,4,Life Sciences,Research & Development,Manager,28,27,10,15,7,0,29,2
571,30,Female,Single,Non-Travel,3,Medical,Research & Development,Laboratory Technician,12,11,7,6,7,0,2,2
573,60,Female,Married,Travel_Frequently,3,Marketing,Sales,Sales Executive,22,18,13,13,11,4,28,5
574,47,Female,Divorced,Travel_Rarely,2,Medical,Research & Development,Manufacturing Director,20,5,0,0,4,5,2,2
575,46,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Research Director,26,3,2,0,1,6,2,2
577,35,Male,Single,Travel_Rarely,3,Life Sciences,Research & Development,Laboratory Technician,6,5,4,4,3,0,22,2
578,54,Female,Single,Travel_Rarely,4,Life Sciences,Research & Development,Laboratory Technician,19,1,0,0,0,7,8,3
579,34,Male,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Research Scientist,14,7,3,5,7,3,2,3
580,46,Female,Married,Travel_Rarely,3,Marketing,Sales,Sales Executive,15,3,2,1,2,2,10,3
581,31,Male,Divorced,Travel_Rarely,1,Life Sciences,Research & Development,Manufacturing Director,13,13,8,0,8,1,9,6
582,33,Male,Married,Travel_Rarely,1,Medical,Research & Development,Manager,15,7,6,7,7,7,15,2
584,33,Male,Divorced,Travel_Rarely,1,Medical,Research & Development,Laboratory Technician,8,4,3,1,3,7,10,2
585,30,Male,Single,Travel_Rarely,1,Marketing,Sales,Sales Representative,4,3,2,1,2,0,7,3
586,35,Male,Married,Travel_Rarely,3,Life Sciences,Research & Development,Healthcare Representative,10,8,7,0,0,4,16,2
587,31,Male,Married,Travel_Frequently,3,Life Sciences,Research & Development,Healthcare Representative,12,1,0,0,0,3,20,2
590,34,Female,Divorced,Travel_Frequently,3,Human Resources,Human Resources,Human Resources,11,3,2,0,2,9,23,2
591,42,Male,Married,Travel_Frequently,2,Other,Research & Development,Laboratory Technician,8,2,2,2,0,4,5,4
592,36,Male,Single,Non-Travel,4,Medical,Sales,Sales Executive,10,10,3,9,7,1,10,3
593,22,Male,Single,Travel_Frequently,1,Technical Degree,Research & Development,Laboratory Technician,4,2,2,1,2,5,4,3
595,48,Female,Married,Travel_Rarely,5,Marketing,Sales,Sales Executive,14,9,7,6,7,2,2,2
597,55,Female,Single,Travel_Rarely,5,Life Sciences,Sales,Manager,37,10,9,7,7,3,18,2
599,41,Male,Single,Non-Travel,2,Life Sciences,Sales,Sales Executive,16,14,3,1,10,7,10,3
600,35,Male,Married,Travel_Rarely,3,Marketing,Sales,Sales Executive,15,11,9,6,9,9,1,2
601,40,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Manufacturing Director,22,20,6,5,13,7,6,3
602,39,Female,Married,Travel_Frequently,1,Life Sciences,Research & Development,Laboratory Technician,8,8,3,0,7,1,8,3
604,31,Male,Single,Travel_Rarely,1,Life Sciences,Sales,Sales Executive,10,6,5,0,5,4,2,2
605,42,Male,Married,Travel_Rarely,3,Medical,Research & Development,Manufacturing Director,10,10,9,5,8,1,24,5
606,45,Male,Married,Travel_Rarely,3,Other,Sales,Sales Executive,9,8,7,3,7,0,2,3
608,26,Female,Divorced,Travel_Frequently,4,Life Sciences,Human Resources,Human Resources,8,7,7,1,0,0,17,2
611,29,Male,Divorced,Travel_Rarely,3,Technical Degree,Research & Development,Manufacturing Director,8,3,2,1,2,4,19,2
612,33,Female,Divorced,Travel_Rarely,5,Medical,Research & Development,Research Director,10,6,1,0,5,4,1,2
613,31,Male,Divorced,Travel_Rarely,3,Life Sciences,Sales,Manager,10,5,4,0,1,9,7,3
614,18,Male,Single,Travel_Frequently,3,Marketing,Sales,Sales Representative,0,0,0,0,0,1,5,3
615,40,Male,Divorced,Non-Travel,3,Other,Sales,Sales Executive,20,1,0,0,1,3,28,2
616,41,Female,Single,Non-Travel,4,Other,Research & Development,Healthcare Representative,10,8,7,0,7,2,2,3
618,26,Male,Divorced,Travel_Rarely,2,Medical,Sales,Sales Executive,8,0,0,0,0,5,29,5
620,35,Female,Single,Travel_Rarely,3,Medical,Sales,Sales Executive,5,5,4,0,3,1,1,3
621,34,Male,Single,Travel_Rarely,4,Life Sciences,Sales,Sales Executive,10,10,7,5,7,1,21,3
622,26,Male,Single,Travel_Rarely,3,Technical Degree,Research & Development,Laboratory Technician,1,1,0,0,0,1,24,3
623,37,Female,Single,Travel_Rarely,3,Technical Degree,Research & Development,Manufacturing Director,12,6,5,1,2,4,1,3
624,46,Female,Married,Travel_Frequently,1,Medical,Research & Development,Healthcare Representative,28,2,2,1,2,5,18,3
625,41,Female,Married,Travel_Rarely,5,Life Sciences,Sales,Manager,22,18,16,11,8,7,2,2
626,37,Male,Divorced,Non-Travel,4,Medical,Sales,Sales Executive,9,9,5,7,7,1,9,6
630,52,Male,Divorced,Travel_Rarely,2,Technical Degree,Research & Development,Research Scientist,18,10,9,6,9,3,6,3
631,32,Male,Married,Non-Travel,4,Other,Sales,Sales Executive,6,4,2,1,2,8,11,2
632,24,Male,Married,Travel_Frequently,3,Medical,Sales,Sales Representative,3,2,2,2,1,0,24,3
634,38,Female,Married,Travel_Rarely,3,Medical,Research & Development,Healthcare Representative,18,1,0,0,0,3,10,4
635,37,Female,Married,Travel_Rarely,4,Life Sciences,Research & Development,Manufacturing Director,8,6,5,4,3,6,1,2
638,49,Male,Divorced,Travel_Rarely,4,Life Sciences,Research & Development,Research Director,31,31,9,0,9,1,18,5
639,24,Male,Married,Travel_Rarely,3,Medical,Research & Development,Research Scientist,6,6,5,1,4,1,23,3
641,26,Male,Married,Travel_Rarely,2,Marketing,Sales,Sales Executive,6,5,3,1,4,1,28,5
643,24,Male,Married,Travel_Rarely,2,Other,Research & Development,Laboratory Technician,1,1,0,0,0,1,17,2
644,50,Male,Married,Travel_Frequently,3,Medical,Human Resources,Manager,32,32,5,10,7,1,3,2
645,25,Male,Married,Travel_Rarely,1,Medical,Sales,Sales Representative,7,7,4,0,6,1,13,1
647,24,Female,Married,Travel_Frequently,3,Life Sciences,Research & Development,Laboratory Technician,6,6,3,1,2,1,7,4
648,30,Male,Married,Travel_Frequently,4,Life Sciences,Sales,Sales Representative,1,1,0,0,0,1,12,2
649,34,Male,Married,Travel_Rarely,2,Life Sciences,Research & Development,Research Scientist,6,6,5,1,3,1,1,3
650,31,Male,Divorced,Travel_Rarely,4,Medical,Sales,Sales Executive,9,3,1,1,2,2,13,2
652,35,Male,Single,Travel_Rarely,2,Other,Research & Development,Laboratory Technician,9,3,2,0,2,4,25,3
653,31,Male,Divorced,Travel_Rarely,4,Medical,Sales,Sales Executive,13,7,7,5,7,4,6,4
655,27,Female,Divorced,Travel_Rarely,4,Medical,Research & Development,Research Scientist,6,5,3,0,3,0,6,5
656,37,Male,Married,Travel_Rarely,3,Marketing,Sales,Sales Executive,17,3,0,1,0,4,2,3
657,20,Female,Single,Travel_Rarely,3,Life Sciences,Research & Development,Research Scientist,1,1,0,0,0,1,1,0
659,42,Female,Married,Travel_Rarely,4,Life Sciences,Research & Development,Healthcare Representative,10,10,2,2,2,1,2,4
661,43,Male,Divorced,Travel_Rarely,4,Other,Research & Development,Research Director,21,1,0,0,0,4,6,3
662,38,Female,Single,Travel_Rarely,1,Life Sciences,Research & Development,Research Scientist,8,0,0,0,0,3,1,3
663,43,Male,Divorced,Travel_Frequently,5,Medical,Research & Development,Laboratory Technician,10,8,7,4,7,3,9,3
664,48,Female,Married,Travel_Rarely,4,Life Sciences,Research & Development,Manager,21,3,2,0,2,7,1,3
665,44,Female,Single,Travel_Rarely,4,Life Sciences,Human Resources,Human Resources,10,2,2,0,2,4,1,1
666,34,Female,Divorced,Travel_Rarely,3,Technical Degree,Sales,Sales Representative,8,8,2,0,6,1,14,3
