EmployeeNumber,EmployeeCount,Age,Gender,MaritalStatus,Over18,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,MonthlyIncome,MonthlyRate,HourlyRate,DailyRate,PercentSalaryHike,StockOptionLevel,OverTime,PerformanceRating,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Education,EducationField,TrainingTimesLastYear,DistanceFromHome,BusinessTravel,StandardHours,Attrition
468,1,42,Female,Single,Y,Research & Development,Research Director,4,3,4,16,1,0,0,0,2,15992,15901,44,810,14,0,No,3,1,3,2,5,Life Sciences,2,23,Travel_Rarely,80,No
469,1,29,Male,Married,Y,Sales,Sales Executive,2,3,3,4,4,3,0,2,1,4649,16928,61,746,14,1,No,3,4,2,1,3,Life Sciences,3,2,Non-Travel,80,No
470,1,42,Male,Divorced,Y,Human Resources,Human Resources,1,3,3,4,3,2,1,0,0,2696,24017,52,544,11,1,Yes,3,3,3,3,1,Technical Degree,5,2,Travel_Rarely,80,No
471,1,32,Female,Married,Y,Research & Development,Laboratory Technician,1,3,2,8,8,0,0,7,1,2370,3956,75,1062,13,1,No,3,3,3,3,3,Medical,4,2,Travel_Rarely,80,No
473,1,48,Female,Married,Y,Sales,Manager,3,3,3,15,0,0,0,0,3,12504,23978,91,530,21,1,No,4,1,1,2,1,Medical,3,29,Travel_Rarely,80,No
474,1,37,Male,Divorced,Y,Research & Development,Research Scientist,2,4,1,13,7,7,6,7,4,5974,17001,51,1319,13,2,Yes,3,3,3,1,3,Medical,2,6,Travel_Rarely,80,No
475,1,30,Female,Married,Y,Sales,Sales Executive,2,3,3,4,2,2,2,2,7,4736,6069,85,641,12,1,Yes,3,4,4,2,2,Technical Degree,2,25,Non-Travel,80,No
476,1,26,Male,Married,Y,Sales,Sales Executive,2,3,3,8,8,7,7,7,1,5296,20156,57,933,17,1,No,3,3,3,2,3,Life Sciences,3,1,Travel_Rarely,80,No
477,1,42,Male,Single,Y,Research & Development,Healthcare Representative,2,2,4,14,1,0,0,0,3,6781,17078,98,1332,23,0,No,4,1,3,2,4,Other,6,2,Travel_Rarely,80,No
478,1,21,Female,Single,Y,Sales,Sales Representative,1,2,2,3,3,2,1,2,1,2174,9150,99,756,11,0,Yes,3,1,3,3,1,Technical Degree,3,1,Travel_Frequently,80,Yes
479,1,36,Female,Single,Y,Sales,Sales Executive,2,3,4,7,1,0,0,0,4,6653,15276,45,845,15,0,No,3,4,3,2,5,Medical,6,1,Non-Travel,80,No
481,1,36,Male,Married,Y,Sales,Sales Executive,3,2,4,16,13,9,1,12,4,9699,7246,48,541,11,1,No,3,1,3,1,4,Medical,2,3,Travel_Frequently,80,No
482,1,57,Male,Married,Y,Research & Development,Healthcare Representative,2,3,3,15,3,2,1,2,2,6755,2967,88,593,11,0,No,3,4,3,3,4,Medical,2,1,Travel_Rarely,80,No
483,1,40,Female,Married,Y,Research & Development,Laboratory Technician,1,4,3,10,7,7,1,7,3,2213,22495,46,1171,13,1,Yes,3,4,3,3,4,Life Sciences,3,10,Travel_Rarely,80,No
484,1,21,Male,Single,Y,Sales,Sales Representative,1,3,4,3,3,2,2,2,1,2610,2851,39,895,24,0,No,4,1,2,3,2,Medical,3,9,Non-Travel,80,No
485,1,33,Female,Single,Y,Sales,Sales Representative,1,3,3,1,1,0,0,0,1,2851,9150,34,350,13,0,Yes,3,4,3,2,3,Marketing,2,5,Travel_Rarely,80,Yes
486,1,37,Female,Married,Y,Research & Development,Laboratory Technician,1,3,1,17,5,4,0,3,6,3452,17663,98,921,20,1,No,4,3,3,2,3,Medical,3,10,Travel_Rarely,80,No
487,1,46,Female,Married,Y,Research & Development,Manufacturing Director,2,3,3,7,1,0,0,0,2,5258,16044,30,1144,14,0,No,3,3,4,3,4,Medical,2,7,Non-Travel,80,No
488,1,41,Male,Single,Y,Sales,Sales Executive,2,3,2,8,8,7,7,7,1,9355,9558,56,143,18,0,No,3,1,3,3,3,Marketing,5,4,Travel_Frequently,80,Yes
491,1,50,Male,Single,Y,Research & Development,Healthcare Representative,3,2,4,20,4,3,1,3,6,10496,2755,100,1046,15,0,No,3,4,3,4,3,Technical Degree,2,10,Travel_Rarely,80,No
492,1,40,Male,Married,Y,Sales,Sales Executive,2,2,3,8,6,4,1,0,2,6380,6110,68,575,12,2,Yes,3,3,3,1,2,Marketing,6,22,Travel_Rarely,80,Yes
493,1,31,Male,Single,Y,Research & Development,Research Scientist,1,2,2,3,2,2,2,2,0,2657,7551,42,408,16,0,Yes,3,3,3,4,4,Life Sciences,5,9,Travel_Rarely,80,No
494,1,21,Female,Single,Y,Sales,Sales Representative,1,4,2,1,1,0,0,0,1,2716,25422,90,156,15,0,No,3,3,3,4,3,Life Sciences,0,12,Travel_Rarely,80,Yes
495,1,29,Male,Single,Y,Research & Development,Research Scientist,1,3,4,6,3,2,1,2,9,2201,18168,54,1283,16,0,No,3,4,3,4,3,Life Sciences,4,23,Travel_Rarely,80,No
496,1,35,Male,Single,Y,Research & Development,Healthcare Representative,2,2,2,10,1,1,0,0,9,6540,19394,97,755,19,0,No,3,3,3,3,4,Life Sciences,5,9,Travel_Rarely,80,No
497,1,27,Male,Divorced,Y,Research & Development,Laboratory Technician,1,3,2,5,5,2,0,4,1,3816,17881,82,1469,11,1,No,3,4,3,2,2,Medical,2,1,Travel_Rarely,80,No
498,1,28,Male,Single,Y,Sales,Sales Executive,2,3,4,7,7,5,0,7,1,5253,20750,92,304,16,0,No,3,2,3,4,4,Life Sciences,1,9,Travel_Rarely,80,No
499,1,49,Male,Single,Y,Research & Development,Healthcare Representative,3,2,3,26,5,2,0,0,8,10965,12066,31,1261,24,0,No,4,2,3,3,3,Other,2,7,Travel_Rarely,80,No
500,1,51,Female,Married,Y,Sales,Sales Executive,2,3,4,18,7,7,0,7,4,4936,14862,87,1178,11,1,No,3,3,2,3,2,Life Sciences,2,14,Travel_Rarely,80,No
501,1,36,Female,Married,Y,Research & Development,Research Scientist,1,3,3,6,2,2,2,2,4,2543,11868,96,329,13,1,No,3,4,3,2,3,Life Sciences,3,2,Travel_Rarely,80,No
502,1,34,Male,Single,Y,Sales,Sales Executive,2,4,4,9,5,2,0,4,8,5304,4652,67,1362,13,0,Yes,3,1,2,2,3,Marketing,3,19,Non-Travel,80,Yes
505,1,55,Female,Single,Y,Research & Development,Manager,4,3,4,30,5,4,1,2,2,16659,23258,97,1311,13,0,Yes,3,3,3,3,3,Life Sciences,2,2,Travel_Rarely,80,No
507,1,24,Female,Divorced,Y,Sales,Sales Executive,2,3,3,5,5,2,0,3,1,4260,5915,77,1371,12,1,Yes,3,4,4,4,4,Marketing,2,10,Travel_Rarely,80,No
508,1,30,Male,Married,Y,Sales,Sales Representative,1,3,2,1,1,0,0,0,1,2476,17434,72,202,18,1,No,3,3,3,1,1,Technical Degree,3,2,Travel_Rarely,80,No
510,1,26,Male,Single,Y,Research & Development,Research Scientist,1,3,1,7,6,4,0,4,0,3102,6582,73,575,22,0,No,4,3,3,3,1,Technical Degree,2,3,Travel_Frequently,80,Yes
511,1,22,Female,Married,Y,Research & Development,Research Scientist,1,3,2,2,2,1,1,2,1,2244,24440,43,253,13,1,No,3,1,3,4,3,Medical,1,11,Travel_Rarely,80,No
513,1,36,Male,Married,Y,Sales,Sales Executive,3,2,3,10,10,9,9,0,1,7596,3809,61,164,13,2,No,3,2,3,2,2,Medical,2,2,Travel_Rarely,80,No
514,1,30,Male,Single,Y,Research & Development,Research Scientist,1,3,4,3,1,0,0,0,9,2285,3427,40,464,23,0,Yes,4,3,3,3,3,Technical Degree,4,4,Travel_Frequently,80,Yes
515,1,37,Female,Divorced,Y,Research & Development,Laboratory Technician,1,3,1,18,18,7,12,17,1,3034,26914,95,1107,12,1,No,3,4,2,3,3,Life Sciences,2,14,Travel_Rarely,80,No
516,1,40,Female,Divorced,Y,Sales,Sales Executive,2,3,2,8,5,4,1,3,7,5715,22553,46,759,12,2,No,3,4,3,3,2,Marketing,5,2,Travel_Rarely,80,No
517,1,42,Female,Divorced,Y,Research & Development,Laboratory Technician,1,3,1,8,5,2,1,2,3,2576,20490,95,201,16,1,No,3,2,3,2,4,Life Sciences,5,1,Travel_Rarely,80,No
518,1,37,Male,Single,Y,Research & Development,Manufacturing Director,2,3,2,18,1,0,0,1,2,4197,21123,49,1305,12,0,Yes,3,3,2,4,4,Life Sciences,2,10,Travel_Rarely,80,No
520,1,43,Male,Divorced,Y,Research & Development,Research Director,4,2,2,25,25,10,3,9,1,14336,4345,59,982,11,1,No,3,1,3,3,3,Life Sciences,3,12,Travel_Rarely,80,No
521,1,40,Female,Married,Y,Research & Development,Laboratory Technician,2,2,3,20,1,0,0,0,6,3448,13436,78,555,22,1,No,4,2,3,2,3,Medical,3,2,Travel_Rarely,80,No
522,1,54,Male,Married,Y,Research & Development,Research Director,5,3,1,24,4,2,1,2,4,19406,8509,86,821,11,1,No,3,1,2,3,2,Medical,4,5,Travel_Rarely,80,No
523,1,34,Female,Married,Y,Sales,Sales Executive,2,3,3,6,3,2,1,2,9,6538,12740,72,1381,15,1,No,3,3,3,1,4,Marketing,3,4,Non-Travel,80,No
524,1,31,Female,Married,Y,Research & Development,Manufacturing Director,2,3,1,13,13,10,3,12,1,4306,4156,31,480,12,1,No,3,2,1,2,2,Medical,5,7,Travel_Rarely,80,No
525,1,43,Male,Married,Y,Research & Development,Laboratory Technician,1,3,4,8,3,2,1,2,7,2258,15238,61,313,20,1,No,4,4,3,1,3,Medical,1,21,Travel_Frequently,80,No
526,1,43,Female,Divorced,Y,Research & Development,Healthcare Representative,2,3,3,8,5,2,0,2,4,4522,2227,74,1473,14,0,Yes,3,3,3,4,4,Other,3,8,Travel_Rarely,80,No
527,1,25,Female,Single,Y,Sales,Sales Executive,2,2,4,5,5,4,1,3,1,4487,12090,99,891,11,0,Yes,3,2,3,2,2,Life Sciences,3,4,Travel_Rarely,80,No
529,1,37,Female,Married,Y,Research & Development,Research Scientist,2,3,3,15,13,11,10,7,3,4449,23866,72,1063,15,2,Yes,3,2,3,1,5,Medical,2,25,Non-Travel,80,No
530,1,31,Male,Married,Y,Research & Development,Laboratory Technician,1,2,1,4,4,2,3,2,1,2218,16193,98,329,12,1,No,3,4,3,3,2,Life Sciences,3,1,Travel_Rarely,80,No
531,1,39,Male,Divorced,Y,Research & Development,Manager,5,3,3,21,21,8,1,6,1,19197,8213,52,1218,14,1,Yes,3,2,3,3,1,Life Sciences,3,1,Travel_Frequently,80,No
532,1,56,Female,Married,Y,Sales,Sales Executive,4,4,1,36,7,7,7,7,9,13212,18256,86,906,11,3,No,3,3,2,4,3,Life Sciences,0,6,Travel_Frequently,80,No
533,1,30,Female,Single,Y,Sales,Sales Executive,2,3,3,6,5,4,4,4,0,6577,19558,83,1082,11,0,No,3,2,3,2,3,Technical Degree,6,12,Travel_Rarely,80,No
534,1,41,Male,Married,Y,Sales,Sales Executive,3,4,1,10,10,7,0,7,1,8392,19566,49,645,16,1,No,3,2,3,3,3,Marketing,2,1,Travel_Rarely,80,No
536,1,28,Male,Divorced,Y,Research & Development,Laboratory Technician,2,3,1,10,10,0,1,8,1,4558,13535,79,1300,12,1,No,3,3,3,4,2,Medical,2,17,Travel_Rarely,80,No
538,1,25,Male,Married,Y,Research & Development,Laboratory Technician,1,3,1,6,2,2,0,2,5,4031,9396,91,688,13,1,No,3,1,3,3,3,Medical,5,3,Travel_Rarely,80,Yes
543,1,52,Male,Married,Y,Research & Development,Manufacturing Director,3,2,3,28,5,4,0,4,2,7969,19609,39,319,14,0,Yes,3,4,3,3,3,Medical,4,3,Travel_Rarely,80,No
544,1,45,Male,Married,Y,Research & Development,Research Scientist,1,3,4,8,2,2,0,2,3,2654,9655,69,192,21,2,No,4,1,2,4,2,Life Sciences,3,10,Travel_Rarely,80,No
546,1,52,Female,Married,Y,Research & Development,Manager,4,3,4,31,5,2,1,4,2,16555,10310,30,1490,13,0,No,3,4,1,4,2,Life Sciences,2,4,Travel_Rarely,80,No
547,1,42,Female,Divorced,Y,Research & Development,Research Scientist,2,3,3,19,5,4,0,2,2,4556,12932,92,532,11,1,No,3,1,3,2,2,Life Sciences,3,29,Travel_Frequently,80,No
548,1,30,Female,Single,Y,Research & Development,Manufacturing Director,2,1,4,11,5,4,0,2,2,6091,24793,43,317,20,0,No,4,3,3,3,3,Life Sciences,2,2,Travel_Rarely,80,No
549,1,60,Female,Married,Y,Research & Development,Manager,5,3,1,33,29,8,11,10,5,19566,3854,41,422,11,0,No,3,1,1,4,3,Life Sciences,5,7,Travel_Rarely,80,No
550,1,46,Female,Divorced,Y,Research & Development,Manufacturing Director,2,3,3,19,10,7,0,8,2,4810,26314,87,1485,14,1,No,3,3,2,3,3,Medical,5,18,Travel_Rarely,80,No
551,1,42,Female,Married,Y,Research & Development,Healthcare Representative,2,2,4,7,6,5,0,4,0,4523,4386,88,1368,11,3,No,3,4,4,4,4,Technical Degree,4,28,Travel_Frequently,80,No
554,1,24,Female,Single,Y,Sales,Sales Representative,1,3,2,6,5,3,1,4,1,3202,21972,62,1448,16,0,Yes,3,1,3,2,1,Technical Degree,4,1,Travel_Rarely,80,Yes
555,1,34,Female,Divorced,Y,Sales,Sales Representative,1,1,3,3,2,2,1,0,0,2351,12253,33,296,16,1,No,3,4,2,4,2,Marketing,3,6,Travel_Frequently,80,Yes
556,1,38,Male,Married,Y,Research & Development,Laboratory Technician,1,3,4,1,1,0,0,0,1,1702,12106,42,1490,23,1,Yes,4,4,3,3,2,Life Sciences,3,2,Travel_Frequently,80,No
558,1,40,Female,Married,Y,Sales,Manager,5,3,3,21,20,15,1,12,0,18041,13022,79,1398,14,0,No,3,3,3,4,4,Life Sciences,2,2,Travel_Rarely,80,No
560,1,26,Female,Divorced,Y,Research & Development,Research Scientist,1,3,4,3,3,2,0,2,1,2886,3032,90,1349,22,2,No,4,1,1,2,3,Life Sciences,3,23,Travel_Rarely,80,No
562,1,30,Male,Married,Y,Research & Development,Laboratory Technician,1,3,4,9,5,3,1,4,4,2097,16734,53,1400,15,1,No,3,3,1,3,3,Life Sciences,3,3,Non-Travel,80,No
564,1,29,Male,Married,Y,Research & Development,Research Director,3,2,3,10,10,2,0,7,1,11935,21526,93,986,18,0,No,3,2,3,3,4,Medical,2,3,Travel_Rarely,80,No
565,1,29,Female,Married,Y,Research & Development,Research Scientist,1,2,2,6,2,2,1,1,5,2546,18300,71,408,16,0,No,3,3,4,2,5,Technical Degree,2,25,Travel_Rarely,80,Yes
566,1,19,Male,Single,Y,Human Resources,Human Resources,1,2,4,1,1,0,0,0,1,2564,18437,52,489,12,0,No,3,1,4,3,2,Technical Degree,3,2,Travel_Rarely,80,Yes
567,1,30,Female,Married,Y,Sales,Sales Executive,3,3,1,10,9,8,7,8,0,8412,2890,69,1398,11,0,No,3,3,3,3,4,Other,3,22,Non-Travel,80,No
568,1,57,Male,Divorced,Y,Sales,Manager,4,2,4,32,1,0,0,0,3,14118,22102,56,210,12,1,No,3,1,2,3,3,Marketing,3,29,Travel_Rarely,80,No
569,1,50,Male,Married,Y,Research & Development,Manager,4,2,3,28,27,10,15,7,0,17046,9314,88,1099,15,1,No,3,2,3,2,4,Life Sciences,2,29,Travel_Rarely,80,No
571,1,30,Female,Single,Y,Research & Development,Laboratory Technician,1,3,4,12,11,7,6,7,0,2564,7181,49,1116,14,0,No,3,3,2,3,3,Medical,2,2,Non-Travel,80,No
573,1,60,Female,Married,Y,Sales,Sales Executive,3,2,1,22,18,13,13,11,4,10266,2845,80,1499,19,0,No,3,3,4,4,3,Marketing,5,28,Travel_Frequently,80,No
574,1,47,Female,Divorced,Y,Research & Development,Manufacturing Director,2,3,4,20,5,0,0,4,5,5070,7389,65,983,13,3,No,3,1,3,3,2,Medical,2,2,Travel_Rarely,80,No
575,1,46,Male,Married,Y,Research & Development,Research Director,4,3,3,26,3,2,0,1,6,17861,2288,51,1009,13,0,No,3,1,1,3,3,Life Sciences,2,2,Travel_Rarely,80,No
577,1,35,Male,Single,Y,Research & Development,Laboratory Technician,1,1,3,6,5,4,4,3,0,4230,19225,46,144,15,0,No,3,4,3,3,3,Life Sciences,2,22,Travel_Rarely,80,No
578,1,54,Female,Single,Y,Research & Development,Laboratory Technician,2,3,3,19,1,0,0,0,7,3780,23428,42,548,11,0,No,3,3,3,3,4,Life Sciences,3,8,Travel_Rarely,80,No
579,1,34,Male,Divorced,Y,Research & Development,Research Scientist,1,2,3,14,7,3,5,7,3,2768,8416,62,1303,12,1,No,3,4,3,3,4,Life Sciences,3,2,Travel_Rarely,80,No
580,1,46,Female,Married,Y,Sales,Sales Executive,3,2,4,15,3,2,1,2,2,9071,11563,94,1125,19,1,Yes,3,3,3,3,3,Marketing,3,10,Travel_Rarely,80,No
581,1,31,Male,Divorced,Y,Research & Development,Manufacturing Director,3,3,2,13,13,8,0,8,1,10648,14394,33,1274,25,1,No,4,3,4,4,1,Life Sciences,6,9,Travel_Rarely,80,No
582,1,33,Male,Married,Y,Research & Development,Manager,3,3,3,15,7,6,7,7,7,13610,24619,56,1277,12,0,Yes,3,2,4,4,1,Medical,2,15,Travel_Rarely,80,Yes
584,1,33,Male,Divorced,Y,Research & Development,Laboratory Technician,1,1,4,8,4,3,1,3,7,3408,6705,38,587,13,3,No,3,1,3,1,1,Medical,2,10,Travel_Rarely,80,Yes
585,1,30,Male,Single,Y,Sales,Sales Representative,1,3,2,4,3,2,1,2,0,2983,18398,57,413,14,0,No,3,4,3,1,1,Marketing,3,7,Travel_Rarely,80,No
586,1,35,Male,Married,Y,Research & Development,Healthcare Representative,3,3,3,10,8,7,0,0,4,7632,14295,72,1276,12,0,Yes,3,4,3,3,3,Life Sciences,2,16,Travel_Rarely,80,No
587,1,31,Male,Married,Y,Research & Development,Healthcare Representative,3,3,3,12,1,0,0,0,3,9824,22908,66,534,12,0,No,3,1,3,1,3,Life Sciences,2,20,Travel_Frequently,80,Yes
590,1,34,Female,Divorced,Y,Human Resources,Human Resources,3,3,1,11,3,2,0,2,9,9950,11533,43,988,15,3,Yes,3,2,3,3,3,Human Resources,2,23,Travel_Frequently,80,Yes
591,1,42,Male,Married,Y,Research & Development,Laboratory Technician,1,3,3,8,2,2,2,0,4,2093,9260,97,1474,17,1,No,3,2,3,4,2,Other,4,5,Travel_Frequently,80,No
592,1,36,Male,Single,Y,Sales,Sales Executive,3,3,4,10,10,3,9,7,1,9980,15318,32,635,14,0,No,3,2,2,4,4,Medical,3,10,Non-Travel,80,No
593,1,22,Male,Single,Y,Research & Development,Laboratory Technician,1,2,3,4,2,2,1,2,5,3894,9129,99,1368,16,0,No,3,3,3,3,1,Technical Degree,3,4,Travel_Frequently,80,Yes
595,1,48,Female,Married,Y,Sales,Sales Executive,2,3,4,14,9,7,6,7,2,4051,19658,37,163,14,1,No,3,2,3,1,5,Marketing,2,2,Travel_Rarely,80,No
597,1,55,Female,Single,Y,Sales,Manager,4,3,2,37,10,9,7,7,3,16835,9873,83,1117,23,0,No,4,1,3,4,5,Life Sciences,2,18,Travel_Rarely,80,No
599,1,41,Male,Single,Y,Sales,Sales Executive,2,3,4,16,14,3,1,10,7,6230,13430,56,267,14,0,No,3,4,3,4,2,Life Sciences,3,10,Non-Travel,80,No
600,1,35,Male,Married,Y,Sales,Sales Executive,2,3,3,15,11,9,6,9,9,4717,18659,85,619,11,0,No,3,2,3,3,3,Marketing,2,1,Travel_Rarely,80,No
601,1,40,Female,Single,Y,Research & Development,Manufacturing Director,4,3,3,22,20,6,5,13,7,13237,20364,75,302,15,0,No,3,2,3,3,3,Life Sciences,3,6,Travel_Rarely,80,No
602,1,39,Female,Married,Y,Research & Development,Laboratory Technician,1,3,3,8,8,3,0,7,1,3755,17872,48,443,11,1,No,3,3,3,1,1,Life Sciences,3,8,Travel_Frequently,80,No
604,1,31,Male,Single,Y,Sales,Sales Executive,2,3,4,10,6,5,0,5,4,6582,8346,77,828,13,0,Yes,3,2,4,3,1,Life Sciences,2,2,Travel_Rarely,80,No
605,1,42,Male,Married,Y,Research & Development,Manufacturing Director,3,3,1,10,10,9,5,8,1,7406,6950,56,319,21,1,Yes,4,4,2,4,3,Medical,5,24,Travel_Rarely,80,No
606,1,45,Male,Married,Y,Sales,Sales Executive,2,3,2,9,8,7,3,7,0,4805,16177,61,561,19,1,No,3,4,4,2,3,Other,3,2,Travel_Rarely,80,No
608,1,26,Female,Divorced,Y,Human Resources,Human Resources,1,3,3,8,7,7,1,0,0,2741,22808,58,426,11,1,Yes,3,2,2,2,4,Life Sciences,2,17,Travel_Frequently,80,Yes
611,1,29,Male,Divorced,Y,Research & Development,Manufacturing Director,2,3,4,8,3,2,1,2,4,4262,22645,34,232,12,2,No,3,4,4,2,3,Technical Degree,2,19,Travel_Rarely,80,No
612,1,33,Female,Divorced,Y,Research & Development,Research Director,4,4,3,10,6,1,0,5,4,16184,22578,95,922,19,1,No,3,1,3,3,5,Medical,2,1,Travel_Rarely,80,No
613,1,31,Male,Divorced,Y,Sales,Manager,3,2,4,10,5,4,0,1,9,11557,25291,44,688,21,1,No,4,3,2,3,3,Life Sciences,3,7,Travel_Rarely,80,No
614,1,18,Male,Single,Y,Sales,Sales Representative,1,3,2,0,0,0,0,0,1,1878,8059,69,1306,14,0,Yes,3,2,3,4,3,Marketing,3,5,Travel_Frequently,80,Yes
615,1,40,Male,Divorced,Y,Sales,Sales Executive,3,1,1,20,1,0,0,1,3,10932,11373,58,1094,15,1,No,3,3,3,3,3,Other,2,28,Non-Travel,80,No
616,1,41,Female,Single,Y,Research & Development,Healthcare Representative,2,2,3,10,8,7,0,7,2,6811,2112,62,509,17,0,Yes,3,1,3,1,4,Other,3,2,Non-Travel,80,No
618,1,26,Male,Divorced,Y,Sales,Sales Executive,2,3,3,8,0,0,0,0,5,4306,4267,45,775,12,2,No,3,1,3,1,2,Medical,5,29,Travel_Rarely,80,No
620,1,35,Female,Single,Y,Sales,Sales Executive,2,3,3,5,5,4,0,3,1,4859,6698,80,195,16,0,No,3,1,3,4,3,Medical,3,1,Travel_Rarely,80,No
621,1,34,Male,Single,Y,Sales,Sales Executive,2,4,4,10,10,7,5,7,1,5337,19921,74,258,12,0,No,3,4,3,4,4,Life Sciences,3,21,Travel_Rarely,80,No
622,1,26,Male,Single,Y,Research & Development,Laboratory Technician,1,1,4,1,1,0,0,0,1,2340,23213,66,471,18,0,Yes,3,3,1,2,3,Technical Degree,3,24,Travel_Rarely,80,Yes
623,1,37,Female,Single,Y,Research & Development,Manufacturing Director,3,3,4,12,6,5,1,2,4,7491,23848,59,799,17,0,No,3,2,4,4,3,Technical Degree,3,1,Travel_Rarely,80,No
624,1,46,Female,Married,Y,Research & Development,Healthcare Representative,3,3,3,28,2,2,1,2,5,10527,8984,86,1034,11,0,No,3,1,2,4,1,Medical,3,18,Travel_Frequently,80,No
625,1,41,Female,Married,Y,Sales,Manager,4,3,1,22,18,16,11,8,7,16595,5626,91,1276,16,1,No,3,2,3,2,5,Life Sciences,2,2,Travel_Rarely,80,No
626,1,37,Male,Divorced,Y,Sales,Sales Executive,3,3,2,9,9,5,7,7,1,8834,24666,69,142,13,1,No,3,1,3,4,4,Medical,6,9,Non-Travel,80,No
630,1,52,Male,Divorced,Y,Research & Development,Research Scientist,2,3,1,18,10,9,6,9,3,5577,22087,78,956,12,2,Yes,3,4,3,2,2,Technical Degree,3,6,Travel_Rarely,80,No
631,1,32,Male,Married,Y,Sales,Sales Executive,2,4,3,6,4,2,1,2,8,4707,23914,60,1474,12,0,No,3,4,3,4,4,Other,2,11,Non-Travel,80,Yes
632,1,24,Male,Married,Y,Sales,Sales Representative,1,3,4,3,2,2,2,1,0,2400,5530,38,535,13,2,No,3,4,3,3,3,Medical,3,24,Travel_Frequently,80,No
634,1,38,Female,Married,Y,Research & Development,Healthcare Representative,2,3,3,18,1,0,0,0,3,9824,22174,76,1495,19,1,No,3,3,3,3,3,Medical,4,10,Travel_Rarely,80,No
635,1,37,Female,Married,Y,Research & Development,Manufacturing Director,2,3,2,8,6,5,4,3,6,6447,15701,65,446,12,1,No,3,2,2,2,4,Life Sciences,2,1,Travel_Rarely,80,No
638,1,49,Male,Divorced,Y,Research & Development,Research Director,5,2,3,31,31,9,0,9,1,19502,2125,58,1245,17,1,Yes,3,4,3,3,4,Life Sciences,5,18,Travel_Rarely,80,No
639,1,24,Male,Married,Y,Research & Development,Research Scientist,1,4,4,6,6,5,1,4,1,2725,21630,89,691,11,2,Yes,3,2,3,2,3,Medical,3,23,Travel_Rarely,80,No
641,1,26,Male,Married,Y,Sales,Sales Executive,2,3,2,6,5,3,1,4,1,6272,7428,66,703,20,2,No,4,1,4,4,2,Marketing,5,28,Travel_Rarely,80,No
643,1,24,Male,Married,Y,Research & Development,Laboratory Technician,1,2,2,1,1,0,0,0,1,2127,9100,94,823,21,1,No,4,4,3,4,2,Other,2,17,Travel_Rarely,80,No
644,1,50,Male,Married,Y,Human Resources,Manager,5,3,2,32,32,5,10,7,1,18200,7999,99,1246,11,1,No,3,1,3,3,3,Medical,2,3,Travel_Frequently,80,No
645,1,25,Male,Married,Y,Sales,Sales Representative,1,3,3,7,7,4,0,6,1,2096,26376,40,622,11,0,No,3,2,3,3,1,Medical,1,13,Travel_Rarely,80,No
647,1,24,Female,Married,Y,Research & Development,Laboratory Technician,1,3,3,6,6,3,1,2,1,2886,14168,55,1287,16,1,Yes,3,1,3,4,3,Life Sciences,4,7,Travel_Frequently,80,Yes
648,1,30,Male,Married,Y,Sales,Sales Representative,1,2,1,1,1,0,0,0,1,2033,14470,74,448,18,1,No,3,2,4,3,4,Life Sciences,2,12,Travel_Frequently,80,Yes
649,1,34,Male,Married,Y,Research & Development,Research Scientist,1,2,4,6,6,5,1,3,1,3622,22794,83,254,13,1,Yes,3,2,3,4,2,Life Sciences,3,1,Travel_Rarely,80,No
650,1,31,Male,Divorced,Y,Sales,Sales Executive,2,3,1,9,3,1,1,2,2,4233,11512,46,1365,17,0,No,3,2,1,3,4,Medical,2,13,Travel_Rarely,80,Yes
652,1,35,Male,Single,Y,Research & Development,Laboratory Technician,2,2,4,9,3,2,0,2,4,3681,14004,54,538,14,0,No,3,1,3,4,2,Other,3,25,Travel_Rarely,80,No
653,1,31,Male,Divorced,Y,Sales,Sales Executive,2,4,4,13,7,7,5,7,4,5460,6219,66,525,22,2,No,4,1,4,4,4,Medical,4,6,Travel_Rarely,80,No
655,1,27,Female,Divorced,Y,Research & Development,Research Scientist,1,2,3,6,5,3,0,3,0,2187,5013,66,798,12,2,No,3,1,2,3,4,Medical,5,6,Travel_Rarely,80,No
656,1,37,Male,Married,Y,Sales,Sales Executive,2,3,3,17,3,0,1,0,4,9602,3010,75,558,11,1,Yes,3,4,2,3,3,Marketing,3,2,Travel_Rarely,80,No
657,1,20,Female,Single,Y,Research & Development,Research Scientist,1,2,2,1,1,0,0,0,1,2836,11757,83,959,13,0,No,3,4,4,4,3,Life Sciences,0,1,Travel_Rarely,80,No
659,1,42,Female,Married,Y,Research & Development,Healthcare Representative,2,3,4,10,10,2,2,2,1,4089,5718,81,622,13,2,No,3,3,3,2,4,Life Sciences,4,2,Travel_Rarely,80,No
661,1,43,Male,Divorced,Y,Research & Development,Research Director,4,2,4,21,1,0,0,0,4,16627,2671,50,782,14,1,Yes,3,2,2,3,4,Other,3,6,Travel_Rarely,80,No
662,1,38,Female,Single,Y,Research & Development,Research Scientist,1,3,1,8,0,0,0,0,3,2619,14561,43,362,17,0,No,3,3,2,4,1,Life Sciences,3,1,Travel_Rarely,80,No
