EmployeeNumber,Age,Gender,MaritalStatus,BusinessTravel,Education,EducationField,Department,JobRole,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,DistanceFromHome,TrainingTimesLastYear,JobLevel,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,Attrition,OverTime
201,19,Female,Single,Travel_Rarely,1,Medical,"Research & Development","Laboratory Technician",1,1,0,0,0,1,3,3,1,1483,16102,1181,79,14,0,3,3,2,2,3,4,No,No
202,40,Female,Divorced,Travel_Frequently,3,Medical,"Research & Development","Research Scientist",20,20,7,2,13,1,26,2,2,5605,8504,1395,54,11,1,3,3,2,2,3,1,No,No
204,35,Male,Married,Travel_Rarely,5,Marketing,Sales,"Sales Executive",10,10,8,0,6,1,1,3,3,7295,11439,662,94,13,2,3,3,2,3,3,1,No,No
205,53,Male,Married,Travel_Rarely,2,Marketing,Sales,"Sales Representative",13,7,7,4,5,2,6,3,2,2306,16047,1436,34,20,1,4,3,3,2,1,4,No,Yes
206,45,Male,Divorced,Travel_Rarely,3,"Life Sciences","Research & Development","Laboratory Technician",20,17,9,0,15,8,9,2,2,2348,10901,194,60,18,1,3,3,2,2,1,3,No,No
207,32,Female,Single,Travel_Frequently,3,Marketing,Sales,"Sales Executive",9,9,8,3,7,1,8,2,3,8998,15589,967,43,14,0,3,3,4,2,3,4,No,No
208,29,Male,Married,Non-Travel,1,"Technical Degree","Research & Development","Manufacturing Director",10,10,7,0,9,1,1,1,2,4319,26283,1496,41,13,1,3,3,3,4,3,1,No,No
211,51,Male,Married,Travel_Rarely,4,Medical,"Research & Development","Manufacturing Director",10,1,0,0,0,2,7,2,2,6132,13983,1169,34,17,0,3,2,3,2,3,3,No,No
214,58,Female,Married,Travel_Rarely,3,Medical,"Research & Development","Research Scientist",9,1,0,0,0,4,9,3,1,3346,11873,1145,75,20,1,4,2,2,2,2,2,No,Yes
215,40,Male,Married,Travel_Rarely,4,Marketing,Sales,"Sales Executive",15,12,11,2,11,7,4,2,3,10855,8552,630,67,11,1,3,2,4,3,2,1,No,No
216,34,Female,Married,Travel_Frequently,4,Marketing,Sales,"Sales Representative",6,4,3,1,2,6,2,3,1,2231,11314,303,75,18,1,3,3,3,3,3,4,No,No
217,22,Male,Married,Travel_Rarely,1,Medical,"Research & Development","Research Scientist",2,2,2,2,2,1,19,6,1,2323,11992,1256,80,24,2,4,3,4,3,3,1,No,No
218,27,Male,Divorced,Non-Travel,3,Medical,"Research & Development","Research Scientist",6,2,2,2,2,6,9,1,1,2024,5970,691,57,18,1,3,3,2,4,1,4,No,No
221,28,Male,Married,Travel_Rarely,3,Medical,"Research & Development","Research Scientist",5,5,2,0,2,1,21,2,1,2713,6672,440,42,11,1,3,3,4,3,1,3,No,No
223,57,Male,Divorced,Travel_Rarely,2,"Life Sciences","Research & Development","Healthcare Representative",12,5,3,1,4,3,24,2,3,9439,23402,334,83,16,1,3,4,4,3,1,2,No,Yes
224,27,Male,Divorced,Non-Travel,3,Medical,"Research & Development","Research Scientist",1,1,1,0,1,1,3,2,1,2566,25326,1450,79,15,1,3,2,3,3,2,4,No,Yes
226,50,Female,Single,Travel_Rarely,3,"Life Sciences","Research & Development",Manager,21,5,4,4,4,3,11,5,5,19926,17053,1452,53,15,0,3,3,2,3,3,2,No,No
227,41,Male,Divorced,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",13,9,8,1,8,4,14,2,1,2451,4609,465,56,12,1,3,3,3,1,3,1,No,No
228,30,Female,Married,Travel_Rarely,3,"Life Sciences",Sales,"Sales Executive",12,10,9,7,4,2,5,2,3,9419,8053,1339,41,12,1,3,3,4,2,3,3,No,No
230,38,Female,Single,Travel_Rarely,4,"Life Sciences",Sales,"Sales Executive",12,8,3,0,7,4,1,2,2,8686,12930,702,59,22,0,4,2,4,1,4,3,No,No
231,32,Male,Single,Travel_Rarely,5,"Life Sciences","Research & Development","Research Scientist",8,5,4,1,4,3,6,2,1,3038,12430,120,43,20,0,4,3,3,3,3,1,No,No
233,27,Male,Married,Travel_Rarely,3,"Technical Degree","Research & Development","Research Scientist",6,5,2,1,1,0,17,3,1,3058,13364,1157,51,16,1,3,3,2,3,2,4,No,Yes
235,19,Female,Single,Travel_Frequently,1,"Technical Degree",Sales,"Sales Representative",1,0,0,0,0,0,1,5,1,2325,20989,602,100,21,0,4,1,1,3,4,1,Yes,No
238,36,Male,Single,Travel_Frequently,2,Medical,"Research & Development","Laboratory Technician",13,8,7,7,2,4,3,3,1,2088,15062,1480,30,12,0,3,3,2,4,2,3,No,No
239,30,Male,Divorced,Non-Travel,3,Medical,"Research & Development","Laboratory Technician",12,12,9,6,10,1,9,4,2,3072,11012,111,66,11,2,3,3,1,3,3,3,No,No
240,45,Female,Divorced,Travel_Rarely,2,"Life Sciences",Sales,"Sales Executive",9,5,4,0,3,4,4,3,2,5006,6319,1268,30,11,1,3,3,1,3,4,1,No,Yes
241,56,Female,Divorced,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",19,2,2,2,2,4,8,3,1,4257,13939,713,67,18,1,3,3,1,3,3,3,No,Yes
242,33,Male,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",4,3,1,0,2,0,2,2,1,2500,10515,134,90,14,0,3,3,4,3,4,1,No,No
243,19,Male,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Laboratory Technician",1,1,0,1,0,1,2,3,1,1102,9241,303,47,22,0,4,2,4,2,2,3,Yes,No
244,46,Female,Divorced,Travel_Rarely,2,Marketing,Sales,"Sales Executive",24,24,13,15,7,1,1,2,3,10453,2137,526,92,25,3,4,3,1,2,3,3,No,No
245,38,Female,Single,Travel_Rarely,2,"Life Sciences","Research & Development","Laboratory Technician",2,2,2,2,1,1,9,3,1,2288,6319,1380,75,12,0,3,3,4,3,3,3,No,No
246,31,Female,Married,Travel_Rarely,1,Medical,"Research & Development","Research Scientist",7,4,2,0,2,8,12,0,1,3929,6984,140,95,23,1,4,3,4,3,3,3,No,Yes
247,34,Female,Single,Travel_Rarely,2,Medical,"Research & Development","Research Scientist",9,3,2,1,2,2,27,3,1,2311,5711,629,95,15,0,3,3,2,4,3,4,No,No
248,41,Female,Single,Travel_Rarely,2,Marketing,Sales,"Sales Representative",4,4,3,0,2,1,20,5,1,3140,21728,1356,70,22,0,4,3,2,2,2,4,Yes,Yes
249,50,Male,Married,Travel_Rarely,3,Medical,"Research & Development","Laboratory Technician",5,3,2,0,2,2,1,2,1,3690,3425,328,86,15,1,3,2,3,3,2,4,No,No
250,53,Female,Divorced,Travel_Rarely,2,Medical,"Research & Development","Manufacturing Director",5,4,2,1,3,1,13,3,2,4450,26250,1084,57,11,2,3,4,1,4,3,3,No,No
252,33,Female,Married,Travel_Rarely,3,Medical,"Research & Development","Research Scientist",8,8,7,1,6,1,14,5,1,2756,4673,931,72,13,1,3,3,2,4,3,4,No,No
253,40,Female,Married,Travel_Rarely,1,Medical,"Research & Development",Manager,21,20,8,9,9,1,4,2,5,19033,6499,989,46,14,1,3,3,3,4,3,2,No,No
254,55,Male,Single,Travel_Rarely,4,Medical,"Research & Development","Research Director",36,24,15,2,15,8,14,3,5,18722,13339,692,61,11,0,3,4,2,3,3,4,No,No
256,34,Male,Married,Travel_Frequently,1,"Life Sciences","Research & Development","Manufacturing Director",10,10,9,1,9,1,2,2,2,9547,14074,1069,45,17,0,3,2,3,4,2,3,No,No
258,51,Female,Single,Travel_Rarely,3,Medical,"Research & Development","Healthcare Representative",21,7,7,1,0,3,3,6,4,13734,7192,313,98,18,0,3,3,2,4,3,3,No,No
259,52,Male,Married,Travel_Rarely,4,"Life Sciences","Research & Development",Manager,34,33,18,11,9,0,1,5,5,19999,5678,699,65,14,1,3,2,3,3,3,1,No,No
260,27,Female,Single,Travel_Rarely,3,Medical,"Research & Development","Research Scientist",7,7,7,0,3,1,9,2,1,2279,11781,894,99,16,0,3,3,2,4,2,4,No,No
261,35,Male,Married,Travel_Rarely,2,"Life Sciences","Research & Development","Manufacturing Director",8,1,0,0,1,3,23,1,2,5916,15497,556,50,13,0,3,2,3,2,3,1,Yes,Yes
262,43,Male,Divorced,Non-Travel,3,Medical,"Research & Development","Research Scientist",7,5,4,2,2,4,7,3,1,2089,5228,1344,37,14,3,3,4,4,4,4,4,No,No
264,45,Male,Married,Non-Travel,2,Medical,"Research & Development",Manager,22,20,8,11,8,9,2,1,4,16792,20462,1195,65,23,1,4,2,4,1,3,4,No,No
267,37,Male,Married,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",8,8,7,1,7,1,21,3,1,3564,22977,290,65,12,1,3,4,1,2,2,1,No,Yes
269,35,Female,Single,Travel_Frequently,3,Medical,"Research & Development","Laboratory Technician",10,6,2,1,2,5,2,5,2,4425,15986,138,37,11,0,3,3,2,2,3,4,No,No
270,42,Female,Divorced,Non-Travel,2,Medical,"Research & Development","Manufacturing Director",11,5,3,0,2,2,21,5,2,5265,16439,926,36,16,1,3,3,3,3,3,2,No,No
271,38,Male,Married,Travel_Rarely,4,"Life Sciences","Research & Development","Manufacturing Director",14,1,0,0,0,9,2,3,2,6553,7259,1261,88,14,0,3,3,3,4,3,2,No,No
273,38,Male,Married,Travel_Rarely,3,"Technical Degree","Research & Development","Manufacturing Director",9,7,7,1,7,3,29,3,2,6261,4185,1084,54,18,1,3,3,4,4,1,1,No,No
274,27,Male,Married,Travel_Frequently,1,"Technical Degree","Research & Development","Manufacturing Director",6,2,2,2,0,5,1,1,2,4298,9679,472,60,19,1,3,2,1,3,3,3,No,No
275,49,Male,Divorced,Non-Travel,4,"Life Sciences","Research & Development","Manufacturing Director",7,7,7,1,7,1,18,0,2,6804,23793,1002,92,15,2,3,3,4,4,3,1,No,Yes
277,34,Male,Divorced,Travel_Frequently,4,Medical,"Research & Development","Research Scientist",5,5,3,2,0,1,10,4,1,3815,5972,878,43,17,1,3,3,3,4,4,4,No,Yes
281,40,Male,Married,Travel_Rarely,2,Medical,"Research & Development","Laboratory Technician",15,7,2,3,7,8,19,2,2,2741,16523,905,99,15,1,3,3,4,3,4,3,No,Yes
282,38,Male,Married,Travel_Rarely,1,Medical,"Research & Development","Healthcare Representative",17,1,0,0,0,7,29,2,2,6673,11354,1180,70,19,0,3,3,1,2,3,2,Yes,Yes
283,29,Female,Married,Travel_Rarely,3,Marketing,Sales,"Sales Executive",10,10,4,1,9,1,27,3,3,7639,24525,121,35,22,3,4,3,4,2,2,4,Yes,No
284,22,Male,Divorced,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",4,4,2,2,2,1,5,2,1,2328,12392,1136,60,16,1,3,4,2,4,2,1,No,Yes
286,36,Female,Single,Travel_Frequently,1,Medical,"Research & Development","Laboratory Technician",8,8,1,1,7,1,18,2,1,2153,7703,635,73,13,0,3,3,4,2,3,1,No,No
287,40,Male,Married,Non-Travel,5,"Life Sciences","Research & Development","Healthcare Representative",5,3,2,0,2,9,9,5,2,4876,14242,1151,63,14,1,3,2,4,4,1,4,No,No
288,46,Male,Divorced,Travel_Rarely,4,Medical,"Research & Development","Healthcare Representative",17,4,2,0,3,7,1,3,3,9396,12368,644,97,16,1,3,3,1,4,3,3,No,No
291,32,Male,Married,Travel_Rarely,4,Medical,Sales,"Sales Executive",14,14,8,9,8,1,4,2,3,10400,25812,1045,32,11,0,3,1,4,4,2,3,Yes,No
292,30,Male,Single,Non-Travel,1,"Life Sciences","Research & Development","Manufacturing Director",12,11,8,5,8,1,1,2,3,8474,20925,829,88,22,0,4,2,3,3,3,3,No,No
293,27,Female,Single,Travel_Frequently,3,"Life Sciences",Sales,"Sales Executive",7,7,7,0,7,1,20,2,2,9981,12916,1242,90,14,0,3,3,3,4,3,4,No,No
296,51,Male,Married,Travel_Rarely,4,"Life Sciences","Research & Development","Research Director",16,10,9,4,7,5,8,5,3,12490,15736,1469,81,16,2,3,2,2,2,1,4,No,No
297,30,Female,Single,Travel_Rarely,3,"Technical Degree","Research & Development","Research Scientist",8,5,2,0,4,5,3,5,1,2657,8556,1005,88,11,0,3,3,1,4,3,3,Yes,Yes
298,41,Female,Single,Travel_Rarely,3,"Life Sciences",Sales,Manager,16,1,0,0,0,3,6,3,3,13591,14674,896,75,18,0,3,3,4,4,3,3,No,Yes
299,30,Female,Single,Travel_Frequently,4,Marketing,Sales,"Sales Executive",9,6,3,0,1,5,26,5,2,6696,22967,334,52,15,0,3,2,1,3,2,3,Yes,No
300,29,Male,Single,Travel_Rarely,3,"Technical Degree","Research & Development","Research Scientist",7,6,2,1,5,0,1,1,1,2058,19757,992,85,14,0,3,3,3,3,2,4,Yes,No
302,45,Female,Single,Non-Travel,3,Medical,Sales,"Sales Executive",23,19,7,12,8,6,6,2,3,8865,16840,1052,57,12,0,3,2,4,4,3,4,No,No
303,54,Female,Married,Travel_Rarely,3,Marketing,Sales,"Sales Executive",16,6,2,0,5,2,3,4,2,5940,17011,1147,52,14,1,3,3,1,4,3,4,No,No
304,36,Male,Single,Travel_Rarely,2,"Life Sciences","Research & Development","Laboratory Technician",16,13,11,3,7,8,5,3,2,5914,9945,1396,62,16,0,3,3,2,4,4,4,No,No
305,33,Female,Married,Travel_Rarely,4,Medical,"Research & Development","Research Scientist",7,3,2,1,1,6,4,3,1,2622,13248,147,47,21,0,4,2,2,3,3,4,No,No
306,37,Male,Divorced,Travel_Frequently,3,Other,"Research & Development","Research Director",10,10,8,0,7,1,11,1,3,12185,10056,663,47,14,3,3,3,4,2,3,3,No,Yes
307,38,Male,Divorced,Travel_Rarely,3,"Life Sciences",Sales,"Sales Executive",17,16,10,5,13,0,3,6,3,10609,9647,119,76,12,2,3,3,3,1,2,3,No,No
308,31,Male,Married,Non-Travel,4,Medical,"Research & Development","Manufacturing Director",6,5,4,1,4,0,1,2,2,4345,4381,979,90,12,1,3,1,3,3,3,4,No,No
309,59,Male,Married,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",7,1,0,0,0,3,3,6,1,2177,8456,142,70,17,1,3,2,4,3,3,1,No,No
311,37,Male,Divorced,Travel_Frequently,4,Marketing,Sales,"Sales Representative",13,9,8,5,8,4,4,2,1,2793,2539,319,41,17,1,3,3,4,1,3,3,No,No
312,29,Female,Married,Travel_Frequently,1,Medical,Sales,"Sales Executive",11,11,10,4,1,1,1,5,3,7918,6599,1413,42,14,1,3,3,4,2,3,4,No,No
314,35,Female,Single,Travel_Frequently,3,Marketing,Sales,"Sales Executive",10,10,7,0,8,1,1,3,3,8789,9096,944,92,14,0,3,3,3,3,4,1,No,No
315,29,Male,Single,Travel_Rarely,1,Medical,"Research & Development","Research Scientist",4,4,3,0,1,1,18,3,1,2389,14961,896,86,13,0,3,2,4,3,2,3,Yes,Yes
316,52,Female,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Laboratory Technician",6,2,2,2,2,7,2,3,1,3212,3300,1323,89,15,0,3,2,4,3,2,2,No,No
319,42,Male,Married,Travel_Rarely,2,"Technical Degree","Research & Development",Manager,22,22,17,11,15,1,4,3,5,19232,4933,532,58,11,0,3,3,4,3,3,4,No,No
321,59,Male,Married,Travel_Rarely,2,Medical,"Human Resources","Human Resources",7,2,2,2,2,8,6,2,1,2267,25657,818,52,17,0,3,3,3,2,2,4,No,No
323,50,Female,Divorced,Travel_Rarely,4,Medical,Sales,Manager,32,7,0,0,6,3,1,3,5,19517,24118,854,68,11,1,3,3,4,4,2,3,No,No
325,33,Male,Married,Travel_Rarely,3,Medical,"Research & Development","Laboratory Technician",8,5,4,0,4,5,14,2,1,2436,22149,813,58,13,1,3,3,4,3,1,3,Yes,Yes
327,43,Female,Married,Travel_Rarely,3,Marketing,Sales,Manager,22,17,13,1,9,5,16,3,4,16064,7744,1034,80,22,1,4,3,4,4,3,3,No,Yes
328,33,Female,Married,Travel_Rarely,2,"Life Sciences","Research & Development","Laboratory Technician",13,9,7,1,7,7,2,3,1,2707,21509,465,39,20,0,4,3,1,1,4,1,Yes,No
329,52,Male,Single,Non-Travel,4,"Life Sciences",Sales,Manager,33,33,7,15,12,1,2,2,5,19068,21030,771,79,18,0,3,2,3,1,4,4,No,Yes
330,32,Female,Married,Travel_Rarely,2,"Life Sciences",Sales,"Sales Representative",6,4,3,1,2,2,4,5,1,3931,20990,1401,56,11,1,3,3,2,3,3,1,No,No
331,32,Male,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Laboratory Technician",4,3,2,1,2,0,1,2,1,3730,9571,515,62,14,0,3,2,3,4,1,4,Yes,Yes
332,39,Female,Divorced,Travel_Rarely,4,Medical,"Research & Development","Laboratory Technician",7,3,2,1,2,7,1,1,1,2232,15417,1431,96,14,3,3,3,3,3,3,3,No,No
333,32,Male,Married,Non-Travel,4,Marketing,Sales,"Sales Executive",4,3,2,2,2,0,26,2,2,4465,12069,976,100,18,0,3,3,4,3,3,1,No,No
334,41,Male,Divorced,Travel_Rarely,2,"Life Sciences","Research & Development","Research Scientist",17,1,0,0,0,2,19,2,2,3072,19877,1411,36,16,2,3,3,1,3,2,1,No,No
335,40,Male,Divorced,Travel_Rarely,2,"Technical Degree","Research & Development","Research Scientist",9,9,8,4,7,1,24,3,2,3319,24447,1300,62,17,2,3,3,4,1,3,1,No,No
336,45,Male,Married,Travel_Rarely,3,Other,"Research & Development",Manager,25,24,0,1,7,0,1,2,5,19202,15970,252,70,11,1,3,4,4,3,3,3,No,No
337,31,Male,Divorced,Travel_Frequently,4,Medical,"Research & Development","Research Director",9,2,2,2,2,9,3,3,3,13675,13523,1327,73,12,1,3,3,3,2,3,1,No,No
338,33,Female,Married,Travel_Rarely,4,"Life Sciences","Research & Development","Research Scientist",2,2,2,0,2,1,5,2,1,2911,14776,832,63,13,1,3,2,4,3,2,3,No,No
339,34,Male,Married,Travel_Rarely,4,"Life Sciences","Research & Development","Manufacturing Director",13,11,9,5,9,6,2,3,2,5957,23687,470,84,13,1,3,2,1,4,3,2,No,No
340,37,Female,Married,Travel_Rarely,2,Medical,"Research & Development","Research Scientist",17,3,1,0,2,2,1,2,1,3920,18697,1017,83,14,1,3,2,1,3,2,1,No,No
341,45,Male,Married,Travel_Frequently,4,"Life Sciences","Research & Development","Manufacturing Director",9,3,2,0,2,4,7,1,2,6434,5118,1199,77,17,1,3,4,3,1,3,4,No,No
342,37,Male,Divorced,Travel_Frequently,3,Medical,"Research & Development","Manufacturing Director",17,1,0,0,0,6,10,5,3,10048,22573,504,61,11,2,3,3,3,1,3,2,Yes,No
343,39,Female,Single,Travel_Frequently,4,"Technical Degree","Research & Development","Healthcare Representative",20,19,6,11,8,0,2,1,3,10938,6420,505,64,25,0,4,3,3,3,3,4,No,No
346,29,Male,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",6,6,5,1,5,1,15,1,1,2340,22673,665,60,19,0,3,3,4,3,3,1,No,No
347,42,Female,Single,Travel_Rarely,2,"Life Sciences","Research & Development","Research Scientist",10,3,2,0,2,3,17,1,2,6545,23016,916,82,13,0,3,4,1,4,3,3,No,Yes
349,29,Male,Divorced,Travel_Rarely,2,Marketing,Sales,"Sales Executive",10,3,2,0,2,2,20,2,2,6931,10732,1247,45,14,1,3,3,4,4,3,4,No,No
350,25,Female,Married,Travel_Rarely,3,"Life Sciences","Research & Development","Manufacturing Director",5,4,2,1,2,0,1,3,2,4898,7505,685,62,12,2,3,3,3,1,3,4,No,No
351,42,Female,Divorced,Travel_Rarely,3,Medical,"Research & Development","Laboratory Technician",10,9,6,7,8,0,2,4,1,2593,8007,269,56,11,1,3,2,1,4,3,3,No,Yes
352,40,Male,Divorced,Travel_Rarely,2,Medical,"Research & Development","Research Director",22,21,7,3,9,0,2,5,5,19436,5949,1416,49,19,1,3,3,3,1,3,4,No,No
353,51,Male,Married,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",1,1,0,0,0,1,1,0,1,2723,23231,833,96,11,0,3,3,4,3,2,2,No,No
355,31,Male,Single,Travel_Frequently,2,Medical,"Research & Development","Laboratory Technician",6,5,4,1,4,0,29,2,1,3479,11652,307,71,11,0,3,2,2,3,4,2,Yes,No
359,32,Male,Married,Travel_Frequently,3,"Life Sciences","Research & Development","Laboratory Technician",5,5,1,0,3,1,7,3,1,2794,26062,1311,100,20,0,4,4,2,2,1,3,No,No
361,38,Male,Married,Non-Travel,2,"Life Sciences",Sales,"Sales Executive",13,8,7,7,5,3,2,0,2,5249,19682,1327,39,18,1,3,2,4,4,3,4,No,No
362,32,Male,Single,Travel_Rarely,1,"Technical Degree","Research & Development","Laboratory Technician",9,6,2,0,4,4,2,5,2,2176,19737,128,84,13,0,3,2,1,4,3,4,No,No
363,46,Female,Married,Travel_Rarely,3,"Technical Degree",Sales,Manager,28,7,7,7,7,3,2,2,4,16872,14977,488,75,12,1,3,1,2,3,2,2,No,Yes
364,28,Male,Single,Travel_Rarely,4,"Life Sciences","Research & Development","Laboratory Technician",5,0,0,0,0,2,2,5,1,3485,14935,529,79,11,0,3,3,3,1,1,3,Yes,No
366,29,Male,Married,Travel_Rarely,3,Medical,Sales,"Sales Executive",10,0,0,0,0,2,2,2,2,6644,3687,1210,78,19,2,3,2,2,1,3,2,No,No
367,31,Male,Married,Travel_Rarely,3,Medical,"Research & Development","Healthcare Representative",10,9,0,7,8,0,23,2,2,5582,14408,1463,64,21,1,4,2,4,2,3,2,No,No
369,25,Male,Divorced,Non-Travel,2,"Life Sciences","Research & Development","Healthcare Representative",6,6,3,1,5,1,5,2,2,4000,18384,675,85,12,2,3,4,1,2,3,4,No,No
372,45,Male,Married,Travel_Rarely,2,Medical,"Research & Development","Healthcare Representative",21,20,7,4,10,0,20,2,4,13496,7501,1385,79,14,0,3,3,4,3,3,2,No,Yes
373,36,Male,Married,Travel_Rarely,3,"Life Sciences","Research & Development","Laboratory Technician",16,15,13,10,11,0,6,4,1,3210,20251,1403,47,11,1,3,3,4,4,3,3,No,No
374,55,Male,Single,Travel_Rarely,3,Medical,"Research & Development",Manager,37,36,10,4,13,0,1,2,5,19045,18938,452,81,14,0,3,3,1,4,3,3,No,Yes
376,47,Male,Married,Non-Travel,4,"Life Sciences","Research & Development",Manager,10,10,7,9,9,1,29,2,3,11849,10268,666,88,12,1,3,3,2,1,2,4,Yes,Yes
377,28,Male,Married,Travel_Rarely,3,Medical,"Research & Development","Research Scientist",5,5,2,0,4,1,9,3,1,2070,2613,1158,94,23,1,4,3,4,4,2,4,No,No
378,37,Male,Married,Travel_Rarely,4,Medical,Sales,"Sales Executive",7,5,4,0,1,4,6,5,2,6502,22825,228,98,14,1,3,3,4,3,4,2,No,No
379,21,Male,Single,Travel_Rarely,2,Medical,"Research & Development","Research Scientist",3,3,2,1,0,1,3,4,1,3230,10531,996,100,17,0,3,2,3,4,4,1,No,No
380,37,Female,Divorced,Non-Travel,4,Medical,"Research & Development","Research Director",15,5,2,0,2,2,1,2,3,13603,11677,728,80,18,2,3,3,4,1,3,1,No,Yes
381,35,Female,Divorced,Travel_Rarely,3,"Life Sciences","Research & Development",Manager,10,7,7,6,2,7,22,6,3,11996,19100,1315,71,18,1,3,4,2,2,2,2,No,No
382,38,Female,Divorced,Travel_Rarely,2,Medical,Sales,"Sales Executive",8,8,0,7,7,1,7,3,2,5605,19191,322,44,24,1,4,4,1,1,3,3,No,Yes
384,26,Female,Divorced,Travel_Frequently,3,"Life Sciences","Research & Development","Manufacturing Director",6,6,5,1,4,1,1,6,2,6397,26767,1479,84,20,1,4,3,2,3,1,1,No,No
385,50,Male,Divorced,Travel_Rarely,1,"Life Sciences","Research & Development","Research Director",28,10,4,1,6,3,4,4,5,19144,15815,797,96,14,2,3,3,2,1,2,1,No,No
386,53,Male,Married,Travel_Rarely,4,Medical,"Research & Development","Research Director",21,5,3,1,3,3,3,5,4,17584,21016,1070,45,16,3,3,3,3,3,2,4,No,Yes
387,42,Male,Married,Travel_Rarely,1,"Life Sciences",Sales,"Sales Executive",20,20,16,11,6,1,1,3,2,4907,24532,635,99,25,0,4,3,3,2,3,3,No,No
388,29,Male,Single,Travel_Frequently,2,"Life Sciences",Sales,"Sales Executive",10,10,7,0,9,1,2,3,2,4554,20260,442,44,18,0,3,3,4,2,2,1,No,No
389,55,Male,Married,Travel_Rarely,2,"Technical Degree","Research & Development","Laboratory Technician",12,10,7,0,8,3,20,4,2,5415,15972,147,37,19,1,3,3,4,2,3,4,No,Yes
390,26,Male,Married,Travel_Frequently,2,Medical,"Research & Development","Healthcare Representative",5,5,3,3,3,1,11,3,2,4741,22722,496,60,13,1,3,3,1,1,3,3,No,Yes
391,37,Female,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Research Scientist",17,17,12,5,7,1,1,3,1,2115,15881,1372,42,12,0,3,3,4,4,3,2,No,No
392,44,Male,Divorced,Travel_Frequently,3,"Life Sciences","Research & Development","Laboratory Technician",19,1,0,0,0,3,24,0,1,3161,19920,920,43,22,1,4,3,3,4,1,4,Yes,Yes
393,38,Male,Divorced,Travel_Rarely,4,"Life Sciences","Research & Development","Healthcare Representative",10,2,2,1,2,9,23,2,2,5745,18899,688,82,14,1,3,3,4,4,3,2,No,No
394,26,Male,Divorced,Travel_Rarely,4,Medical,"Research & Development","Laboratory Technician",5,3,2,0,2,2,16,2,1,2373,14180,1449,45,13,1,3,3,2,1,3,4,Yes,Yes
395,28,Female,Single,Travel_Rarely,2,"Life Sciences","Research & Development","Research Scientist",5,5,3,0,2,1,8,3,1,3310,4488,1117,66,21,0,4,3,4,4,3,4,No,No
396,49,Female,Single,Travel_Frequently,4,"Life Sciences","Research & Development","Research Director",22,3,2,1,2,9,10,4,5,18665,25594,636,35,11,0,3,3,1,3,3,4,No,Yes
397,36,Male,Single,Travel_Rarely,3,"Technical Degree","Research & Development","Research Scientist",10,8,0,7,7,4,3,2,2,4485,26285,506,30,12,0,3,3,2,3,3,4,No,No
399,31,Female,Divorced,Travel_Frequently,3,Marketing,Sales,"Sales Representative",2,2,2,2,2,1,5,5,1,2789,3909,444,84,11,1,3,3,2,4,2,3,No,No
401,26,Male,Single,Travel_Rarely,4,Marketing,Sales,"Sales Executive",8,8,7,7,4,1,4,0,2,5828,8450,950,48,12,0,3,2,4,4,3,2,Yes,Yes
403,37,Male,Married,Travel_Frequently,3,Medical,"Research & Development","Research Scientist",4,4,2,1,2,1,9,3,1,2326,11411,889,53,12,3,3,3,4,2,2,3,No,Yes
404,42,Female,Married,Travel_Frequently,3,Marketing,Sales,"Sales Executive",23,20,4,4,8,5,26,2,4,13525,14864,555,77,14,1,3,3,2,3,4,4,No,No
405,18,Male,Single,Travel_Rarely,3,"Life Sciences","Research & Development","Laboratory Technician",0,0,0,0,0,1,3,2,1,1420,25233,230,54,13,0,3,3,3,3,3,3,Yes,No
406,35,Male,Married,Travel_Rarely,3,Marketing,Sales,"Sales Executive",12,11,9,6,9,0,16,3,3,8020,5100,1232,96,15,2,3,3,2,3,2,3,No,No
407,36,Male,Married,Travel_Frequently,4,"Life Sciences","Research & Development","Laboratory Technician",4,1,0,0,0,4,18,2,1,3688,7122,566,81,18,2,3,4,4,3,3,4,No,No
408,51,Male,Divorced,Travel_Rarely,3,Medical,"Research & Development","Manufacturing Director",13,4,1,1,2,5,2,3,2,5482,16321,1302,84,18,1,3,1,2,4,3,4,No,No
410,41,Male,Single,Travel_Rarely,4,"Life Sciences",Sales,Manager,22,22,10,0,4,1,2,2,4,16015,15896,334,88,19,0,3,3,2,4,3,2,No,No
